date,ticker,action,score,entry,stop,target,exit_price,exit_reason,exit_day,gross_pct,net_pct,spy_leg_pct,size_mult,mr_trigger,quality_score,mfe_pct,atr_pct,days_to_earnings,days_since_earnings,dow,trin,ad_ema10_chg,zweig_thrust,near_52wk_low,vix_entry,spy_trend_entry,ibs_entry,change_pct_entry,year
2024-10-07,CB,BUY,51.24,273.2,265.61,283.32,283.32,target,2,3.705,3.205,,,multi,23.9,4.756,1.85,23.0,164.0,0,,,False,False,22.64,1,0.137,-4.615,2024
2012-04-10,PHM,BUY,58.04,6.73,6.18,7.46,7.46,target,2,10.886,10.386,,,multi,45.6,10.886,5.44,198.0,165.0,1,,,False,False,20.39,1,0.058,-6.561,2012
2021-03-03,PHM,BUY,54.8,42.14,39.63,45.49,45.49,target,2,7.949,7.449,,,multi,36.4,8.525,3.97,55.0,132.0,2,,,False,False,26.67,1,0.016,-4.157,2021
2009-08-04,ORLY,BUY,53.96,2.61,2.48,2.77,2.55,time_loss,3,-2.301,-2.801,,,multi,33.1,0.613,3.16,643.0,,1,,,False,False,24.89,1,0.333,-1.412,2009
2012-01-03,ORLY,BUY,50.96,5.22,5.06,5.44,5.32,adaptive,2,1.901,1.401,,,multi,38.4,2.935,2.07,128.0,56.0,1,,,False,False,22.97,1,0.016,-2.251,2012
2016-01-04,ORLY,BUY,52.64,16.46,15.97,17.11,15.95,stop,1,-3.067,-3.567,,,multi,33.7,1.065,1.98,126.0,59.0,0,,,False,False,20.7,0,0.331,-2.885,2016
2018-10-10,ORLY,BUY,70.96,22.31,21.74,23.07,22.9,adaptive,2,2.653,2.153,,,multi,52.9,3.391,1.71,28.0,63.0,2,,,False,False,22.96,0,0.041,-2.636,2018
2025-03-13,DRI,BUY,64.84,175.69,168.08,185.84,181.18,adaptive,2,3.126,2.626,,,multi,56.8,3.4,2.89,19.0,70.0,3,,,False,False,24.66,-1,0.069,-4.578,2025
2019-05-13,ULTA,BUY,54.26,332.56,319.52,349.94,343.24,adaptive,2,3.211,2.711,,,multi,53.0,4.781,2.61,17.0,158.0,0,,,False,False,20.55,1,0.178,-3.79,2019
2021-05-12,ULTA,BUY,50.04,304.4,291.06,322.18,322.18,target,1,5.842,5.342,,,multi,46.9,6.764,2.92,15.0,160.0,2,,,False,False,27.59,1,0.181,-3.215,2021
