alpha,IC_1d,IC_5d,IR_5d,t_5d,IC_10d,rank_autocorr
a035,0.017873135368988317,0.01658656298409105,0.1448357477004974,9.824306027849387,0.01613694006203297,0.37289590510047266
a002,0.00597723866161216,0.007451374841303172,0.14344727750353461,9.756524160971084,0.006133525906303061,0.7806021613307442
a005,0.016750429603963207,0.015330447911266382,0.1307525244359001,8.891171661641208,0.013251297233435932,0.523765154874437
a019,0.01370075929150214,0.017200225629753048,0.134278864063433,8.889828729714045,0.014278914076639832,0.649844157356587
a004,0.011011978171923944,0.01612661692688826,0.1258602451067422,8.559422060207842,0.015170524374908831,0.652873149083982
a043,0.012363995166437308,0.01206477316066705,0.11658049382384887,7.9025754047194186,0.010071804729762655,0.46425023606116117
a026,0.0058500358297794266,0.008200488125953958,0.11125698250943475,7.564656700359566,0.00926811560184913,0.8129540757272921
a034,0.014078970500507087,0.011611383393626253,0.11092201222222851,7.545958538001767,0.009712002427440245,0.07212785847384656
a013,0.005779261811460175,0.005867912398137072,0.1072484934659818,7.296839449686115,0.00607689751533511,0.640172876628427
a041,0.016463594809730787,0.011678608573415647,0.10341428525500242,7.039011662948311,0.010704991288717026,-0.0023924541198179334
a044,0.006370848356585401,0.005560209429717043,0.09359240728310374,6.367723662906836,0.005380366507408084,0.6418021363281429
a016,0.004967436793761291,0.00493076982357081,0.09175070276111927,6.242420063980813,0.005059447542323893,0.6287785040171089
a018,0.010525487604510145,0.01020950063374921,0.09084502218019798,6.1774615082534625,0.011201625323359252,0.2559289692568126
a015,0.004559994076360038,0.004799289791814472,0.09015361683543724,6.1337595205042605,0.005381960943917584,0.7744855973814712
a033,0.015242265074671421,0.012470033836798199,0.08687419905092376,5.9131917686310675,0.011128287857801004,-0.001111681621975316
a025,0.013875808271409489,0.01015718781712612,0.08678632498097096,5.895085297422274,0.009204051393443392,-0.01544421844373205
a054,0.015220102391653131,0.008656391535778907,0.08315707993469386,5.6601818024818815,0.007669033721341071,0.04425219526025576
a101,-0.013453606910076929,-0.010336204969181783,-0.08239270225640703,-5.608153561131172,-0.009590640897656114,0.003027035147213287
a001,-0.009193837107446588,-0.008323727430603126,-0.07898422087265712,-5.368603451410466,-0.007031813029987911,0.4458568426649915
a028,0.007869538469696045,0.006938208151852293,0.07838479931180047,5.322091212871797,0.005368591755868351,0.44201281679708765
a008,0.007991487082682814,0.009596072571102506,0.07663617470487027,5.207877774731272,0.0075859012005557195,0.7271132686335287
a012,0.004048248938445549,0.00506969527529647,0.07295682429442472,4.96535377530573,0.004131897578995279,0.025407026836691472
a053,0.013579781079268308,0.007465616947743207,0.07102110427810114,4.829435090910877,0.006518409233948942,0.0005240480170940638
a017,0.00926938285624717,0.0072056791952699855,0.06814159247237236,4.626608394897144,0.006934201561628345,0.01906650473141733
a003,0.0018910051823843846,0.0029626227917245317,0.05615865212935819,3.818788344796357,0.002720437536965434,0.8463063234179492
a006,0.0018925403766430807,0.004083823405401657,0.05157937484942428,3.507397489760851,0.004648337762897807,0.8402678646916163
a020,0.00779327515460115,0.005476889880576769,0.046768230503331384,3.1829895577271055,0.004592988567172973,0.024018929421274076
a007,-0.00023698984226226203,-0.0022669568993796125,-0.039415861605060096,-2.641450958469039,-0.002795426115821731,0.6668702512053101
a014,0.0006517487332996564,0.0025608362437014535,0.03286445755245804,2.2347831135671465,0.0025819400548385205,0.6953587778130662
a022,0.0026832884003417765,0.000383225698506903,0.005609744878084814,0.3810499472162085,0.003443215203274513,0.5955952349398382
